tip,subgenus,section,subsection,clade,NAm,code,sp,drop
Quercus_kelloggii_|_HIPP_|_CA-MH69_|_USA_|_California_|_OAK-MOR-476,subg. Quercus,Lobatae,Agrifoliae,,TRUE,OAK-MOR-476,Quercus_kelloggii,FALSE
Quercus_agrifolia_|_MANOS_|_PM-311_|_US_|_CA_|_PM-311,subg. Quercus,Lobatae,Agrifoliae,,TRUE,PM-311,Quercus_agrifolia,FALSE
Quercus_agrifolia_var._oxyadenia_|_HIPP_|_CA-DAV-MH55_|_USA_|_California_|_OAK-MOR-127,subg. Quercus,Lobatae,Agrifoliae,,TRUE,OAK-MOR-127,Quercus_agrifolia_var._oxyadenia,FALSE
Quercus_parvula_var._shrevei_|_MANOS_|_PM-306_|_US_|_CA_|_PM-306,subg. Quercus,Lobatae,Agrifoliae,,TRUE,PM-306,Quercus_parvula_var._shrevei,FALSE
Quercus_parvula_var._tamalpaiensis_|_MANOS_|_PM-318_|_US_|_CA_|_PM-318,subg. Quercus,Lobatae,Agrifoliae,,TRUE,PM-318,Quercus_parvula_var._tamalpaiensis,FALSE
Quercus_wislizeni_|_HIPP_|_Aram-s.n.-D_|_USA_|_California_|_OAK-MOR-516,subg. Quercus,Lobatae,Agrifoliae,,TRUE,OAK-MOR-516,Quercus_wislizeni,FALSE
Quercus_texana_|_HIPP_|_IL-SH-28_|_USA_|_Illinois_|_OAK-MOR-500,subg. Quercus,Lobatae,Palustres,,TRUE,OAK-MOR-500,Quercus_texana,FALSE
Quercus_palustris_|_HIPP_|_IL-MOR-MH004__|_USA_|_Illinois_|_OAK-MOR-358,subg. Quercus,Lobatae,Palustres,,TRUE,OAK-MOR-358,Quercus_palustris,FALSE
Quercus_ilicifolia_|_MANOS_|_PM-80_|_USA_|_New_York_|_PM-80b,subg. Quercus,Lobatae,Phellos,,TRUE,PM-80b,Quercus_ilicifolia,FALSE
Quercus_georgiana_|_HIPP_|_IL-MOR-MH221_|_U.S.A._|_IL_|_OAK-MOR-686,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-686,Quercus_georgiana,FALSE
Quercus_imbricaria_|_HIPP_|_IL-MOR-MH088__|_USA_|_Illinois_|_OAK-MOR-391,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-391,Quercus_imbricaria,FALSE
Quercus_pagoda_|_HIPP_|_IL-MOR-MH002_-A/B-_|_USA_|_Illinois_|_OAK-MOR-354,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-354,Quercus_pagoda,FALSE
Quercus_elliottii_|_CAVENDER-BARES_|_JCB-US-FL-SF-ET-2_|_USA_|_Florida_|_OAK-UMN-015,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-UMN-015,Quercus_elliottii,FALSE
Quercus_phellos_|_HIPP_|_IL-SH-156_|_USA_|_Illinois_|_OAK-MOR-461,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-461,Quercus_phellos,FALSE
Quercus_falcata_|_CAVENDER-BARES_|_JCB-US-FL-SF-FA-1_|_USA_|_Florida_|_OAK-UMN-005,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-UMN-005,Quercus_falcata,FALSE
Quercus_laevis_|_MANOS_|_PM-179_|_US_|_NC_|_PM179,subg. Quercus,Lobatae,Phellos,,TRUE,PM179,Quercus_laevis,FALSE
Quercus_marilandica_|_HIPP_|_IL-MOR-MH012__|_USA_|_Illinois_|_OAK-MOR-527,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-527,Quercus_marilandica,FALSE
Quercus_arkansana_|_HIPP_|_IL-SH-166_|_USA_|_Illinois_|_OAK-MOR-510,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-MOR-510,Quercus_arkansana,FALSE
Quercus_laurifolia_|_CAVENDER-BARES_|_JCB-US-FL-SF-LA-1_|_USA_|_Florida_|_OAK-UMN-009,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-UMN-009,Quercus_laurifolia,FALSE
Quercus_nigra_|_MANOS_|_PM-147_|_US_|_NC_|_PM147,subg. Quercus,Lobatae,Phellos,,TRUE,PM147,Quercus_nigra,FALSE
Quercus_hemisphaerica_|_MANOS_|_PM-178_|_US_|_NC_|_PM178,subg. Quercus,Lobatae,Phellos,,TRUE,PM178,Quercus_hemisphaerica,FALSE
Quercus_incana_|_MANOS_|_PM-104_|_USA_|_MS_|_PM-104a,subg. Quercus,Lobatae,Phellos,,TRUE,PM-104a,Quercus_incana,FALSE
Quercus_myrtifolia_|_CAVENDER-BARES_|_JCB-US-FL-AB-MY-2_|_USA_|_Florida_|_OAK-UMN-013,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-UMN-013,Quercus_myrtifolia,FALSE
Quercus_inopina_|_CAVENDER-BARES_|_JCB-US-FL-AB-IP-2_|_USA_|_Florida_|_OAK-UMN-008,subg. Quercus,Lobatae,Phellos,,TRUE,OAK-UMN-008,Quercus_inopina,FALSE
Quercus_buckleyi_|_HIPP_|_IL-SH-158_|_USA_|_Illinois_|_OAK-MOR-441A,subg. Quercus,Lobatae,Coccineae,,TRUE,OAK-MOR-441A,Quercus_buckleyi,FALSE
Quercus_acerifolia_|_HIPP_|_IL-SH-22_|_USA_|_Illinois_|_OAK-MOR-435,subg. Quercus,Lobatae,Coccineae,,TRUE,OAK-MOR-435,Quercus_acerifolia,FALSE
Quercus_shumardii_|_HIPP_|_IL-SH-111_|_USA_|_Illinois_|_OAK-MOR-169,subg. Quercus,Lobatae,Coccineae,,TRUE,OAK-MOR-169,Quercus_shumardii,FALSE
Quercus_velutina_|_HIPP_|_IL-MOR-MH076_|_USA_|_Illinois_|_OAK-MOR-393,subg. Quercus,Lobatae,Coccineae,,TRUE,OAK-MOR-393,Quercus_velutina,FALSE
Quercus_coccinea_|_HIPP_|_JW2604_|_USA_|_Illinois_|_OAK-MOR-JW-2604,subg. Quercus,Lobatae,Coccineae,,TRUE,OAK-MOR-JW-2604,Quercus_coccinea,FALSE
Quercus_ellipsoidalis_|_HIPP_|_IL-MOR-MH087__|_USA_|_Illinois_|_OAK-MOR-390,subg. Quercus,Lobatae,Coccineae,,TRUE,OAK-MOR-390,Quercus_ellipsoidalis,FALSE
Quercus_rubra_|_HIPP_|_IL-MOR-MH085_|_USA_|_Illinois_|_OAK-MOR-498,subg. Quercus,Lobatae,Coccineae,,TRUE,OAK-MOR-498,Quercus_rubra,FALSE
Quercus_gravesii_|_HIPP_|_CA-DAV-MH45_|_USA_|_California_|_OAK-MOR-399,subg. Quercus,Lobatae,,TX red oaks,TRUE,OAK-MOR-399,Quercus_gravesii,FALSE
Quercus_canbyi_|_HIPP_|_IL-SH-132_|_USA_|_Illinois_|_OAK-MOR-543,subg. Quercus,Lobatae,,TX red oaks,TRUE,OAK-MOR-543,Quercus_canbyi,FALSE
Quercus_mexicana_|_HIPP_|_IL-SH-018_|_USA_|_Illinois_|_OAK-MOR-488,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-MOR-488,Quercus_mexicana,FALSE
Quercus_affinis_|_GONZALEZ_|_AGR34_|_Mexico_|_Queretaro_|_AGR34,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,AGR34,Quercus_affinis,FALSE
Quercus_grahamii_|_CAVENDER-BARES_|_JCB-MX-OA-CA-29_|_Mexico_|_Oaxaca_|_OAK-UMN-280,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-280,Quercus_grahamii,FALSE
Quercus_laurina_|_CAVENDER-BARES_|_JCB-MX-JA-TM-127_|_Mexico_|_Jalisco_|_OAK-UMN-058,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-058,Quercus_laurina,FALSE
Quercus_crispifolia_|_CAVENDER-BARES_|_JCB-MX-OA-CP-53_|_Mexico_|_Oaxaca_|_OAK-UMN-304,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-304,Quercus_crispifolia,FALSE
Quercus_pinnativenulosa_|_GONZALEZ_|_AGR5_|_Mexico_|_Veracruz_|_AGR-5,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,AGR-5,Quercus_pinnativenulosa,FALSE
Quercus_aristata_|_SOCORRO_GONZALEZ-HIPP_|_8370_|_Mexico_|_Nayarit_|_OAK-MOR-1136,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-MOR-1136,Quercus_aristata,FALSE
Quercus_planipocula_|_HIPP_|_IL-SH-082_|_USA_|_Illinois_|_OAK-MOR-495,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-MOR-495,Quercus_planipocula,FALSE
Quercus_uxoris_|_CAVENDER-BARES_|_JCB-MX-JA-MA-135_|_Mexico_|_Jalisco_|_OAK-UMN-066,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-066,Quercus_uxoris,FALSE
Quercus_iltisii_|_CAVENDER-BARES_|_JCB-MX-OA-PO-72_|_Mexico_|_Oaxaca_|_OAK-UMN-323,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-323,Quercus_iltisii,FALSE
Quercus_segoviensis_|_GONZALEZ_|_AGR33_|_NA_|_NA_|_AGR33,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,AGR33,Quercus_segoviensis,FALSE
Quercus_elliptica_|_CAVENDER-BARES_|_JCB-MX-OA-PO-60_|_Mexico_|_Oaxaca_|_OAK-UMN-311,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-311,Quercus_elliptica,FALSE
Quercus_sartorii_|_GONZALEZ_|_AGR8_|_Mexico_|_Hidalgo_|_AGR-8,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,AGR-8,Quercus_sartorii,FALSE
Quercus_delgadoana_|_GONZALEZ_|_AGR11_|_Mexico_|_Hidalgo_|_AGR11,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,AGR11,Quercus_delgadoana,FALSE
Quercus_sapotifolia_|_CAVENDER-BARES_|_JCB-HN-UY-51_|_Honduras_|_NA_|_OAK-UMN-395,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-395,Quercus_sapotifolia,FALSE
Quercus_humboldtii_|_MANOS_|_PM-338_|_Columbia_|_NA_|_PM-338,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,PM-338,Quercus_humboldtii,FALSE
Quercus_costaricensis_|_CAVENDER-BARES_|_CR-JCB-2_|_Costa_Rica_|_NA_|_CR-JCB-2,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,CR-JCB-2,Quercus_costaricensis,FALSE
Quercus_eugeniifolia_|_CAVENDER-BARES_|_JCB-HN-UY-37_|_Honduras_|_NA_|_OAK-UMN-381,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-381,Quercus_eugeniifolia,FALSE
Quercus_benthamii_|_GONZALEZ_|_AGR21_|_NA_|_NA_|_AGR21,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,AGR21,Quercus_benthamii,FALSE
Quercus_cortesii_|_CAVENDER-BARES_|_JCB-HN-UY-30_|_Honduras_|_NA_|_OAK-UMN-374,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-374,Quercus_cortesii,FALSE
Quercus_lowilliamsii_|_GONZALEZ_|_AGR29_|_Mexico_|_Chiapas_|_AGR29,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,AGR29,Quercus_lowilliamsii,FALSE
Quercus_acutifolia_|_CAVENDER-BARES_|_JCB-MX-OA-MI-83_|_Mexico_|_Oaxaca_|_OAK-UMN-334,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-334,Quercus_acutifolia,FALSE
Quercus_castanea_|_CAVENDER-BARES_|_JCB-MX-JA-MA-148_|_Mexico_|_Jalisco_|_OAK-UMN-079,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-079,Quercus_castanea,FALSE
Quercus_calophylla_|_CAVENDER-BARES_|_JCB-MX-MI-ZE-8_|_Mexico_|_Michoacan_|_OAK-UMN-156,subg. Quercus,Lobatae,,Erythromexicana [in part],FALSE,OAK-UMN-156,Quercus_calophylla,FALSE
