id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
6691918,STAR,,,PreservedSpecimen,820e173e-6e88-4b9d-8101-257f7cf9e4de,STAR028599,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,"George P. Johnson",,,5478,1998-10-25,1998,10,25,298,,"25 Oct. 1998",,Creekbank,"Rocky, gravelly soil","Trees about 35-45 feet tall; fruits very small.",,,,,,,,,,,,,,,"United States",Texas,Cooke,,"On Highway 82, about 6 miles west of the intersection of I-35 and Highway 82 in Gainsville; where highway crosses Dry Elm Creek. Growing in rocky/gravelly soil at top of creekbank on South side of highway.",,0,,,,,,,,,,,,,,,,,,,en,csimps,"2019-10-15 11:06:49",,217,urn:uuid:820e173e-6e88-4b9d-8101-257f7cf9e4de,https://vplants.org:443/portal/collections/individual/index.php?occid=6691918
21615534,MMNS,,,PreservedSpecimen,MMNS036482,MMNS036482,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,Coryell,,,,,,,,,,,,,,,,,,,,,,,,,"2019-04-15 12:12:09",,222,urn:uuid:f92bbe37-de3b-4e88-b626-fa555a5a0c80,https://vplants.org:443/portal/collections/individual/index.php?occid=21615534
21615536,MMNS,,,PreservedSpecimen,MMNS036480,MMNS036480,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Fraxinus texensis",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,Coryell,,,,0,,,,,,,,,,,,,,,,,,,,,"2019-04-15 12:13:06",,222,urn:uuid:4f963b8a-1e90-4b87-b996-0261e98507ad,https://vplants.org:443/portal/collections/individual/index.php?occid=21615536
25873068,SRSC,,,PreservedSpecimen,,22374,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Nolan,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:03:39",,223,urn:uuid:1ca2a329-0806-4c58-b10d-f04c67ef53e9,https://vplants.org:443/portal/collections/individual/index.php?occid=25873068
25873069,SRSC,,,PreservedSpecimen,,22375,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Edwards,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:03:56",,223,urn:uuid:e375c7d5-d3d3-4a0d-9099-706c9ab90efb,https://vplants.org:443/portal/collections/individual/index.php?occid=25873069
25873070,SRSC,,,PreservedSpecimen,,22376,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Stephens,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:04:13",,223,urn:uuid:066620db-9c3b-4c3a-9f09-271504e17e69,https://vplants.org:443/portal/collections/individual/index.php?occid=25873070
25873072,SRSC,,,PreservedSpecimen,,22377,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Taylor,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:04:38",,223,urn:uuid:3f4eb71c-615d-4239-86c2-653f03375c08,https://vplants.org:443/portal/collections/individual/index.php?occid=25873072
25873074,SRSC,,,PreservedSpecimen,,22378,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Callahan,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:04:54",,223,urn:uuid:2e864d00-ee9c-4694-b6e7-2f0a7514fa68,https://vplants.org:443/portal/collections/individual/index.php?occid=25873074
25873075,SRSC,,,PreservedSpecimen,,22379,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Eastland,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:05:10",,223,urn:uuid:7d697014-b821-4f47-94f2-4875c083f70f,https://vplants.org:443/portal/collections/individual/index.php?occid=25873075
25873077,SRSC,,,PreservedSpecimen,,22380,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Coleman,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:05:25",,223,urn:uuid:36cb9749-f88d-4a2a-9029-2980f0fe5d8f,https://vplants.org:443/portal/collections/individual/index.php?occid=25873077
25873079,SRSC,,,PreservedSpecimen,,22381,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Brown,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:05:49",,223,urn:uuid:06989b59-fa3e-4f76-8af5-a399484d19ff,https://vplants.org:443/portal/collections/individual/index.php?occid=25873079
25873085,SRSC,,,PreservedSpecimen,,22382,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Concho,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:10:39",,223,urn:uuid:14e57b0e-2d4b-4f37-a62e-9447b2f2c865,https://vplants.org:443/portal/collections/individual/index.php?occid=25873085
25873086,SRSC,,,PreservedSpecimen,,22383,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Mason-Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:11:07",,223,urn:uuid:98173c32-e047-49f9-8194-04772716b4e8,https://vplants.org:443/portal/collections/individual/index.php?occid=25873086
25873087,SRSC,,,PreservedSpecimen,,22384,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Erath,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:12:04",,223,urn:uuid:9470acf0-b69a-45e0-af03-1003e23d600d,https://vplants.org:443/portal/collections/individual/index.php?occid=25873087
25873089,SRSC,,,PreservedSpecimen,,22385,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Mills,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:13:10",,223,urn:uuid:ae7dcadc-8bd2-41ae-859b-e32f2ead77a5,https://vplants.org:443/portal/collections/individual/index.php?occid=25873089
25873092,SRSC,,,PreservedSpecimen,,22386,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Lampasas,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:13:27",,223,urn:uuid:75a1bbe6-bf4c-4f87-81d7-5c69a91399c8,https://vplants.org:443/portal/collections/individual/index.php?occid=25873092
25873094,SRSC,,,PreservedSpecimen,,22387,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Coryell,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:14:32",,223,urn:uuid:7a84aff6-6dda-4714-b067-7a584742c6d5,https://vplants.org:443/portal/collections/individual/index.php?occid=25873094
25873095,SRSC,,,PreservedSpecimen,,22388,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Williamson,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:14:48",,223,urn:uuid:4d6c5102-a61a-44e9-b72c-a7f54d98524a,https://vplants.org:443/portal/collections/individual/index.php?occid=25873095
25873097,SRSC,,,PreservedSpecimen,,22389,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Texas,Dallas,,,,,,,,,,,,,,,,,,,,,,,,,"2020-08-24 08:15:06",,223,urn:uuid:6b8a3a41-6f6d-494c-b07e-60f5935b827f,https://vplants.org:443/portal/collections/individual/index.php?occid=25873097
11611717,UARK,,,PreservedSpecimen,5eaeb809-c433-46ea-80c3-f6bbb86e4fa1,UARK072464,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,Cooke,,,,,,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-11-19 00:00:00",,255,urn:uuid:5eaeb809-c433-46ea-80c3-f6bbb86e4fa1,https://vplants.org:443/portal/collections/individual/index.php?occid=11611717
11611718,UARK,,,PreservedSpecimen,bb425280-5622-46a3-ab73-563f17f79e15,UARK072465,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,Cooke,,,,,,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-11-19 00:00:00",,255,urn:uuid:bb425280-5622-46a3-ab73-563f17f79e15,https://vplants.org:443/portal/collections/individual/index.php?occid=11611718
19727366,GA,,,PreservedSpecimen,dc2909b6-0600-485e-bc3f-ee04d48caf06,GA134768,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,"Travis County",,"Travis County, TX",,,,,,,,,,,,,,,,,,,,,,,"2018-05-02 13:00:31",dc2909b6-0600-485e-bc3f-ee04d48caf06,258,urn:uuid:6be1d7f3-6d76-420f-93e8-f4e1173d7217,https://vplants.org:443/portal/collections/individual/index.php?occid=19727366
20520799,GA,,,PreservedSpecimen,ed876c89-24a4-4d7c-b82f-95cf09b2dcc6,GA134778,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cultivated,Cultivated,,,Cultivated,,,,,,,,,,,,,,,,,,,,,,,"2018-09-10 11:36:17",ed876c89-24a4-4d7c-b82f-95cf09b2dcc6,258,urn:uuid:abbd2f1f-5b32-4142-8da0-0a78bfc465a4,https://vplants.org:443/portal/collections/individual/index.php?occid=20520799
21409512,GA,,,PreservedSpecimen,89661df4-4d72-4149-a1ea-cf928e452637,GA134770,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Texas,"Taylor County",,"Taylor County, TX",,,,,,,,,,,,,,,,,,,,,,,"2019-03-19 06:40:14",89661df4-4d72-4149-a1ea-cf928e452637,258,urn:uuid:895991a0-2a39-4e4e-9e56-3ea0b5eaabad,https://vplants.org:443/portal/collections/individual/index.php?occid=21409512
21411042,GA,,,PreservedSpecimen,59beabb9-3882-4fd3-8c90-86977aecb339,GA134773,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus buckleyi",33625,"Nixon & Dorr",Quercus,buckleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Oklahoma,"Murray County",,"Murray County, OK",,,,,,,,,,,,,,,,,,,,,,,"2019-03-19 06:40:14",59beabb9-3882-4fd3-8c90-86977aecb339,258,urn:uuid:78ff4d76-d461-4348-b939-ed7f528965ce,https://vplants.org:443/portal/collections/individual/index.php?occid=21411042
