id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
11103353,UARK,,,PreservedSpecimen,5d759b5e-943f-4ede-8588-7a8496e9ede0,UARK027862,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Logan,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-09-08 00:00:00",,255,urn:uuid:5d759b5e-943f-4ede-8588-7a8496e9ede0,https://vplants.org:443/portal/collections/individual/index.php?occid=11103353
11103355,UARK,,,PreservedSpecimen,b15d1fe8-e759-4100-9975-97cbfb320806,UARK027863,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Logan,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-09-08 00:00:00",,255,urn:uuid:b15d1fe8-e759-4100-9975-97cbfb320806,https://vplants.org:443/portal/collections/individual/index.php?occid=11103355
11103356,UARK,,,PreservedSpecimen,2bb5a921-56a3-498c-8c94-3eccb22576b3,UARK027864,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Montgomery,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-09-08 00:00:00",,255,urn:uuid:2bb5a921-56a3-498c-8c94-3eccb22576b3,https://vplants.org:443/portal/collections/individual/index.php?occid=11103356
11103358,UARK,,,PreservedSpecimen,0f591f41-384e-4758-beb3-08519e8ceee1,UARK027865,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Brent Baker",4/20/2011,,synonym,,,,"George Johnson",,"William Shepherd",,,,,,,,,"About 300+ plants. Only third known location for plants since E.J. Palmer's discovery on Magazine Mountain in Logan County in 1923.",,,"Ranging from 1-5 m in height. Leaves very maple-like.",,"field values redacted: eventDate, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,fruit,,,,,,,,,"United States",Arkansas,Sebastian,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-09-08 00:00:00",,255,urn:uuid:0f591f41-384e-4758-beb3-08519e8ceee1,https://vplants.org:443/portal/collections/individual/index.php?occid=11103358
11103455,UARK,,,PreservedSpecimen,ece3cd28-dd76-4a45-a426-3d7f1a256fa6,UARK027866,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Montgomery,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-09-08 00:00:00",,255,urn:uuid:ece3cd28-dd76-4a45-a426-3d7f1a256fa6,https://vplants.org:443/portal/collections/individual/index.php?occid=11103455
11103466,UARK,,,PreservedSpecimen,1c6d165c-3cc4-481d-a679-e5fed3e2b419,UARK027867,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arkansas,Montgomery,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-09-08 00:00:00",,255,urn:uuid:1c6d165c-3cc4-481d-a679-e5fed3e2b419,https://vplants.org:443/portal/collections/individual/index.php?occid=11103466
11103470,UARK,,,PreservedSpecimen,36a7ae60-f921-4566-95f0-c498a83084d4,UARK027868,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,"David X Williams",,,,,2002,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber",,,,,,,,,,,,,"United States",Arkansas,Sebastian,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-09-08 00:00:00",,255,urn:uuid:36a7ae60-f921-4566-95f0-c498a83084d4,https://vplants.org:443/portal/collections/individual/index.php?occid=11103470
11792742,UARK,,,PreservedSpecimen,601654b5-42c5-4eeb-b5d8-14260d76aa62,UARK072779,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Brent Baker",4/20/2011,,synonym,,,,"George P. Johnson",,"William Shepherd",,,,,,,,,"About 300+ plants. Only third known location for plants since E.J. Palmer's discovery on Magazine Mountain in Logan County in 1923.",,,"Ranging from 1-5 m in height. Leaves very maple-like.",,"field values redacted: eventDate, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,fruit,,,,,,,,,"United States",Arkansas,Sebastian,,,,1,locked,,,,,,,,,,,,,,,,,,en,willmarisa,"2016-11-19 00:00:00",,255,urn:uuid:601654b5-42c5-4eeb-b5d8-14260d76aa62,https://vplants.org:443/portal/collections/individual/index.php?occid=11792742
22095284,GA,,,PreservedSpecimen,ec949410-5359-4b67-b9cc-d8f95553213c,GA215639,,Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,,,,,,,,,,,,,,,,,,,,,,,,"field values redacted: locality",,,,,,,,,,,,,Cultivated,Cultivated,,,,,1,,,,,,,,,,,,,,,,,,,,,"2019-08-14 03:19:22",ec949410-5359-4b67-b9cc-d8f95553213c,258,urn:uuid:d1a1ec68-1292-4da2-895a-2d39d5e5542b,https://vplants.org:443/portal/collections/individual/index.php?occid=22095284
21184284,ANHC,,,PreservedSpecimen,,ANHC002985,"ANHC Acc#: 001936",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Theo Witsell",8/31/2000,,,,,,"Theo Witsell",,,,,2000,,,,,,"This specimen serves as a voucher for Element Occurrence Record #PDFAG05350.003 (ANHC).",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,sterile,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Logan,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-08-04 09:01:02",3103,270,urn:uuid:9bf54f70-80dd-42d5-862e-0174bd4cb695,https://vplants.org:443/portal/collections/individual/index.php?occid=21184284
